Date,MSFT,AAPL,NVDA,GOOGL,AMZN,META,BRK-B,LLY,AVGO,TSLA,JPM,V,WMT,XOM,UNH,MA,ORCL,COST,PG,CVX,PEP,HD,MRK,ABBV,KO,ADBE,NFLX,AMD,PFE,DIS,RTX,SPGI,GS,CMCSA,LOW,T,PGR,UNP,BKNG,HON,MS,ETN,BLK,COP,TJX,BSX,LMT,VRTX,SYK,C,PANW,MU,ADP,ADI,ELV,MDT,MMC,PLD,FI,BX,KLAC,LRCX,CB,SBUX,BMY,GILD,AMT,HCA,INTC,CI,PLTR,SHW,MDLZ,ICE,BA
2022-01-03,326.9407653808594,179.2736053466797,30.073062896728516,144.63336181640625,170.4044952392578,337.52374267578125,300.7900085449219,264.1634826660156,62.166072845458984,399.9266662597656,148.66506958007812,216.7935485839844,46.305850982666016,57.61799621582031,482.8865966796875,364.4446411132813,84.07971954345703,543.8394775390625,152.142333984375,107.27003479003906,160.0406036376953,380.5411071777344,71.0883560180664,121.82772064208984,54.59066390991211,564.3699951171875,597.3699951171875,150.24000549316406,50.23138427734375,155.533203125,81.33680725097656,449.8709411621094,366.3116149902344,46.61875915527344,242.1431427001953,15.772991180419922,100.7013931274414,232.50784301757812,2443.83154296875,195.04275512695312,90.61066436767578,160.55368041992188,845.7096557617188,66.36416625976562,72.30293273925781,43.119998931884766,329.65625,222.52999877929688,260.4584045410156,56.397796630859375,181.40333557128903,94.0823211669922,230.2879180908203,168.47372436523438,449.9852294921875,97.10236358642578,160.2108612060547,152.75852966308594,107.62000274658205,114.53427124023438,421.7710266113281,60.35361099243164,183.38900756835935,109.4645538330078,55.16143035888672,64.74696350097656,263.3364562988281,247.80674743652344,49.35049057006836,223.5330352783203,18.530000686645508,330.44873046875,61.801727294921875,128.82936096191406,207.86000061035156
2022-01-04,321.334716796875,176.9983367919922,29.243385314941406,144.04283142089844,167.52200317382812,335.5198059082031,308.5299987792969,259.3804931640625,62.87833404541016,383.1966552734375,154.3009490966797,217.802001953125,45.45751953125,59.78525161743164,471.9460754394531,368.8066711425781,84.97887420654297,541.4596557617188,152.6746826171875,109.22187042236328,160.2718963623047,384.4523315429687,71.21784210205078,121.59381103515624,55.50204086303711,554.0,591.1500244140625,144.4199981689453,48.35158157348633,154.51126098632812,84.18926239013672,448.6221618652344,377.56982421875,46.34175491333008,246.2182159423828,15.903244972229004,100.8593521118164,236.50540161132812,2447.31640625,197.11764526367188,94.2915267944336,163.2191162109375,850.8020629882812,69.24290466308594,73.4226303100586,43.63999938964844,336.7544250488281,221.86000061035156,269.5310363769531,56.83574676513672,174.6666717529297,94.66203308105467,231.36378479003903,166.95208740234375,443.5093688964844,97.36778259277344,160.13421630859375,149.1456756591797,109.0,113.0057144165039,418.0388793945313,59.23383331298828,187.3836669921875,107.1754379272461,55.3842887878418,64.41688537597656,260.0169677734375,253.84388732910156,49.28556060791016,222.67401123046875,18.170000076293945,327.13568115234375,62.25139999389648,128.94476318359375,213.6300048828125
2022-01-05,308.9993896484375,172.29019165039062,27.5600643157959,137.43467712402344,164.35699462890625,323.1968994140625,309.9200134277344,253.3919982910156,60.26169204711914,362.7066650390625,151.47999572753906,215.39349365234375,46.0721549987793,60.5288200378418,470.7827453613281,367.3428955078125,82.70231628417969,527.7271118164062,153.3658447265625,109.93244934082033,160.81776428222656,379.2373962402344,72.94719696044922,122.2325439453125,55.96233367919922,514.4299926757812,567.52001953125,136.14999389648438,49.32695388793945,153.9755096435547,83.7684097290039,444.6610412597656,369.3694458007813,46.36945724487305,241.4229431152344,16.25678825378418,101.5800552368164,237.2185821533203,2396.055419921875,199.060546875,91.95819091796876,160.8868408203125,827.1950073242188,68.0554428100586,71.9105453491211,43.04999923706055,333.1728515625,221.4199981689453,264.1747741699219,56.17435073852539,168.2866668701172,92.7558364868164,229.3913421630859,164.3748016357422,443.5578002929687,97.02001190185548,157.91159057617188,146.04232788085938,108.36000061035156,106.53866577148438,407.86029052734375,57.55414962768555,185.8605194091797,103.61042785644533,55.41102981567383,64.39013671875,243.28140258789065,252.57601928710935,49.962608337402344,225.74734497070312,16.959999084472656,327.7495422363281,63.15073776245117,127.32899475097656,213.07000732421875
2022-01-06,306.5576477050781,169.4141082763672,28.13315200805664,137.40725708007812,163.25399780273438,331.4620056152344,313.2200012207031,252.1088104248047,59.70218276977539,354.8999938964844,153.08932495117188,215.1487274169922,45.94409942626953,61.95249938964844,451.5164794921875,363.9883117675781,82.89433288574219,527.61181640625,152.07696533203125,110.86788940429688,160.8547821044922,377.8591918945313,72.90094757080078,121.65679931640624,55.667747497558594,514.1199951171875,553.2899780273438,136.22999572753906,48.626461029052734,155.67210388183594,84.2266616821289,440.95355224609375,367.7942199707031,46.6372184753418,244.3039398193359,16.194766998291016,104.0111083984375,237.87547302246097,2412.60595703125,198.8342132568359,93.53182983398438,161.26760864257812,830.645751953125,70.61030578613281,72.2263412475586,42.59000015258789,333.04254150390625,221.6499938964844,263.447021484375,58.01554870605469,177.6366729736328,93.98406982421876,227.8152618408203,164.89785766601562,425.3883666992187,96.06820678710938,159.69351196289062,145.04185485839844,109.13999938964844,107.77781677246094,418.9888916015625,58.394405364990234,189.6635284423828,104.2671356201172,55.285125732421875,63.86378860473633,243.57568359375,248.22613525390625,50.09245681762695,217.1763458251953,16.739999771118164,325.03094482421875,63.12263107299805,128.06954956054688,211.33999633789065
2022-01-07,306.7139892578125,169.58155822753906,27.203632354736328,136.67855834960938,162.5540008544922,330.79400634765625,319.7799987792969,252.2740478515625,58.02648162841797,342.32000732421875,154.6061553955078,212.4171600341797,46.38267135620117,62.46029281616211,440.89312744140625,363.64398193359375,84.01763916015625,514.5416259765625,151.99290466308594,112.4599380493164,161.058349609375,366.5445861816406,74.26038360595703,121.34193420410156,55.53886795043945,510.7000122070313,541.0599975585938,132.0,49.4067497253418,156.59483337402344,84.58204650878906,435.8704833984375,368.3316345214844,46.21249008178711,237.9544219970703,16.74802589416504,107.89485168457033,239.0860290527344,2417.183349609375,203.48390197753903,94.10160064697266,159.78262329101562,827.6588745117188,72.54447937011719,71.1832046508789,42.11000061035156,335.033447265625,221.8500061035156,255.752197265625,58.79313659667969,175.163330078125,92.8049545288086,225.4086456298828,160.5707244873047,421.071044921875,96.24208068847656,156.9344024658203,142.4109649658203,108.83000183105467,105.50756072998048,404.1475524902344,55.680641174316406,192.7289581298828,100.91790771484376,56.49910736083984,63.56941604614258,245.1296844482422,245.98294067382812,49.56379699707031,222.5594787597656,16.559999465942383,314.9552917480469,63.28190231323242,128.15611267089844,215.5
2022-01-10,306.9385986328125,169.60125732421875,27.35639381408691,138.3269805908203,161.48599243164062,327.0851745605469,318.92999267578125,252.8670654296875,58.21485137939453,352.7066650390625,154.75413513183594,207.5316619873047,46.29304122924805,62.08852005004883,447.0460815429687,357.99725341796875,85.71701049804688,497.8630065917969,149.91952514648438,112.53189849853516,161.14158630371094,360.8174743652344,76.17469787597656,122.70034790039062,55.63092041015625,525.8300170898438,539.8499755859375,132.0,49.86783981323242,155.37448120117188,83.91805267333984,424.78717041015625,369.8698425292969,46.64645004272461,234.73226928710935,16.8563232421875,108.7052001953125,234.8631896972656,2409.0615234375,201.3240966796875,94.17394256591795,158.4213409423828,810.0995483398438,72.89533233642578,69.37444305419922,42.40999984741211,337.92657470703125,223.9600067138672,256.0238952636719,59.01658630371094,174.20333862304688,92.25471496582033,219.7932586669922,162.0542755126953,423.8201293945313,96.6630630493164,158.24691772460938,141.75320434570312,107.75,103.76192474365234,405.9118347167969,55.264671325683594,190.4586181640625,99.47313690185548,58.54036712646485,64.30984497070312,243.13430786132812,243.310546875,51.20542526245117,223.04623413085935,16.5,315.033203125,62.79475021362305,126.47303009033205,209.30999755859375
2022-01-11,307.6320495605469,172.4477996826172,27.77272605895996,139.39083862304688,165.36199951171875,333.36627197265625,319.79998779296875,255.01551818847656,58.29827117919922,354.79998779296875,154.91139221191406,209.8912048339844,46.16178894042969,64.70008850097656,450.8916320800781,360.3386535644531,84.94893646240234,500.9627075195313,148.18234252929688,115.1043701171875,161.06756591796875,360.08184814453125,75.52734375,123.22213745117188,55.64933776855469,529.8900146484375,540.8400268554688,137.30999755859375,50.266845703125,156.65435791015625,84.84391784667969,430.2799377441406,373.4649963378906,47.21892166137695,236.4475860595703,16.779882431030273,107.6379165649414,231.2409515380859,2451.7744140625,204.01206970214844,95.79280090332033,159.69691467285156,823.8743286132812,75.19832611083984,71.02051544189453,43.400001525878906,338.7544860839844,226.1499938964844,260.2158203125,59.98186874389648,175.35000610351562,92.55931091308594,222.04884338378903,165.12611389160156,439.2114562988281,98.74057006835938,158.77381896972656,141.72544860839844,109.47000122070312,109.7134017944336,412.5812683105469,56.00675964355469,191.09083557128903,97.60620880126952,58.882083892822266,64.55962371826172,239.5296936035156,244.1493377685547,51.85464096069336,229.20245361328125,16.889999389648438,316.2026062011719,63.010223388671875,126.9058074951172,216.02000427246097
2022-01-12,310.84527587890625,172.8910369873047,27.954439163208008,141.08114624023438,165.20700073242188,332.2596130371094,320.3900146484375,248.79373168945312,58.2935791015625,368.739990234375,155.7900390625,211.19332885742188,45.91849899291992,64.5096664428711,455.4293518066406,361.3419799804687,84.78570556640625,504.58050537109375,148.50921630859375,114.52872467041016,160.8917694091797,362.62408447265625,75.09268951416016,123.5100326538086,55.73218536376953,532.3699951171875,537.219970703125,137.47000122070312,50.23138427734375,156.56507873535156,85.17123413085938,436.933837890625,361.66021728515625,47.04348373413086,237.603759765625,16.84995460510254,108.55695343017578,231.7852325439453,2418.6923828125,205.8417510986328,93.19721221923828,163.2191162109375,821.0173950195312,75.9270248413086,70.25489807128906,44.40999984741211,336.1125183105469,226.13999938964844,260.0799255371094,60.133811950683594,177.33999633789062,93.4534683227539,221.43540954589844,165.24024963378906,437.3721923828125,99.71067810058594,159.386962890625,141.95701599121094,108.5,110.654052734375,420.5787048339844,57.0974235534668,189.50067138671875,97.4467315673828,58.28859329223633,64.45256805419922,238.51824951171875,243.144775390625,51.69697570800781,227.9043884277344,16.719999313354492,313.36700439453125,63.11326217651367,128.3773193359375,217.4499969482422
2022-01-13,297.6895446777344,169.60125732421875,26.53270149230957,138.24468994140625,161.21400451660156,325.4999694824219,321.260009765625,242.71775817871097,55.9683952331543,343.85333251953125,155.5958251953125,210.49818420410156,46.56835174560547,64.04720306396484,449.3822937011719,363.5160827636719,84.28646850585938,496.02056884765625,147.8367462158203,114.05199432373048,161.1508331298828,360.3704528808594,75.20366668701172,121.3648681640625,56.063602447509766,516.9000244140625,519.2000122070312,132.74000549316406,49.24714660644531,154.2235565185547,85.62950897216797,425.6456604003906,362.1141662597656,47.34818649291992,237.58480834960935,17.072919845581055,107.97390747070312,232.36705017089844,2441.40869140625,206.9546661376953,92.74502563476562,162.9525604248047,804.7567138671875,75.22533416748047,69.48928833007812,44.56999969482422,339.7219543457031,226.5800018310547,259.944091796875,60.58070755004883,166.1999969482422,93.95458221435548,218.8872528076172,161.46469116210938,432.5321960449219,99.55509948730467,157.0685577392578,141.87364196777344,108.94000244140624,107.57882690429688,408.57763671875,57.134857177734375,189.2228851318359,96.06761932373048,58.09075927734375,64.12251281738281,234.88609313964844,248.12860107421875,50.95499801635742,229.5937957763672,16.010000228881836,309.2744140625,63.3662109375,124.60719299316406,223.8999938964844
2022-01-14,302.9635314941406,170.46804809570312,26.89911842346191,139.13597106933594,162.13800048828125,330.9036865234375,324.1300048828125,237.32229614257812,55.89154815673828,349.8699951171875,146.03236389160156,210.17510986328125,46.43709945678711,65.17164611816406,450.5935668945313,366.093505859375,84.19046020507812,482.6911010742187,149.2563934326172,115.99483489990234,162.5016326904297,346.4205017089844,75.2591552734375,123.50093841552734,56.514678955078125,520.5999755859375,525.6900024414062,136.8800048828125,48.724002838134766,150.7509307861328,86.3496322631836,421.830810546875,352.97796630859375,47.71751403808594,230.66671752929688,17.315006256103516,108.45812225341795,231.10023498535156,2433.436279296875,205.27589416503903,89.4259033203125,162.70506286621094,787.1510620117188,78.03209686279297,68.12074279785156,44.86000061035156,346.6433410644531,234.05999755859375,258.7990417480469,59.820987701416016,166.3699951171875,95.66427612304688,215.88607788085935,163.57595825195312,437.67230224609375,99.3446044921875,154.43394470214844,141.49386596679688,109.11000061035156,105.02820587158205,431.3776245117187,60.71635437011719,188.0063018798828,93.92861938476562,58.38750457763672,64.02438354492188,230.45388793945312,250.6546936035156,51.659881591796875,231.13999938964844,16.010000228881836,300.5726623535156,63.79715347290039,121.76033782958984,225.9600067138672
